,text,favorite counts,retweet counts
49,みんなからの匿名質問を募集中！こんな質問に答えてるよ●オリンピックスタメン予想します…●贔屓球団がFA選手を獲得。人的…●ハムはどうすれば勝てますか……●来季はどこが優勝・日本一になる…,0,0
50,ほんと、あの人らだけで操法クラブ作って満足行くまでやれば良い全国操法連盟でも作って高校の部活化してインハイ、そしてゆくゆくは国体種目からのオリンピック種目へ…,0,0
51,今やオリンピック競技にまでなっているダンス💃KENZOさんの解説も分かりやすくて楽しかったです😊また第2回目も見たいです🙏😍,0,0
52,タイミングを間違えば効果半減ですから。アンタです！もち、リーニンも🌝,6,0
53,オリンピックって開催されたら7/23〜8/8までなんだね！オリンピックってそんな開催期間短かったっけ😯,1,0
54,おいオマエ！オリンピックにでも出ろっ。･･･そうでもしないと、オマエが走っている姿、私が見れないからな。,0,0
55,toシマサキヤスヒロ2030.［目標設定！］検索エンジンで一位の、S.N.S.の覇者！kou.↑2020.（夏）東京オリンピック。［開催予定。］↑2019.Google.で、検索一位のMessenger!↑2010.Twitter.登録。↑1975.02.28.0sai.fromしまさきやすひろkou.[目標設定！］no.仕方,0,0
56,オリンピック…開催するのか。例えば、開催して、感染爆発とまで行かなくとも、選手がコロナにかかったりそれで亡くなったりしたら、世界的非難だけでなく、遺族からの訴訟の流れになったりしたら、日本という国終わるやろ…そして、その状態になることはオリンピック委員会は責任とらないからな。,0,0
57,歴史が証明してるしな,0,0
58,みんなからの匿名質問を募集中！こんな質問に答えてるよ●今一番欲しいものは何？…●なんで昨日遊んでくれなかったん…●あなたはいつ卒業ですか…●東京オリンピックのチケット申込…,0,0
59,オリンピック中止で、一気に裏社会崩壊へ！-リチャードコシミズ,0,1
60,世界に目を向ければ明らかに五輪どころでない。それにしても、日本報道ではなく韓国報道とはいかに。国民の大半が反対してる東京五輪は、もはや呪縛だ。英メディア「東京オリンピック、全世界にリスク…中止すべき」に日本イライラ＝韓国報道（WoW!Korea）,0,0
61,オリンピック選手ですらオリンピック開催中という大事な期間にもセックスを欠かさずしてるのに、セックスを欠かさずするどころかセックスする相手すらいない浪人生の皆さん…😅✋,16,1
62,私もオリンピック開催支持派です、共産党関係なく😊別姓支持派はあっち系なんで😑アメリカの不正選挙は難航してますね、日本がそうならなきゃいいけどもデトックスジャパン＆アメリカ🙌,1,0
63,現状は復興五輪ではなく置き去り五輪です。コロナ禍のオリンピックは中止にするべきです！何よりもコロナの終息が最優先です！,6,3
64,オリンピック言ってる人達は目の色が違う。お金しか見てないからだろうな。,2,0
65,オリンピックミュージアム。寒空のなか当日入場も可能だと呼び込みをしていた。開催決定後、近代オリンピックはカネや利権が絡むという事を改めて思い知らされ、新型コロナや会長の不祥事と、こんな事になるなんて想像もできなかった。クーベルタン男爵の理想を考える…,2,0
66,いがーりの話ね話の発端はロンドンオリンピックからきていて心のバリアフリーになりTGCになり車椅子でTGCになった過度に政治にいくと軋轢が生まれるかもしれないがどこか寄りでないと更に揉めるこれで選挙に何かしらの効力はあるか？無いだろう新しい価値観としての心のバリアフリーというこ,0,0
67,,0,1
68,築地事件のせいでオリンピック街道がなくなって道路建設に関して国政に反逆するし新規開設する予定の、先般より準備していた卸場を遅らせたり自滅する気が満々なんだろうと、他から見て思います。,0,0
69,__φ(．．｡),0,0
70,あーーーーワケミニの写真はダメです6月はオリンピックなので,0,0
71,あとはオリンピック開催っぽいので多分一日中英語話すことになりそうなのでそこらへんの準備もかねて…舌も耳も準備しておかないと…,0,0
72,あっという間に変異株蔓延したな。第四波確実。無能無策の結果だ。とにかくオリンピック中止。,0,0
73,お昼食べてるときオリンピックほんとどうなるんだろって話してたら中2男子がポツリと「ていうか修学旅行行きたい」。…それな。,2,0
74,東京オリンピック招致の時に福島の原発は世界に人のコントロール下にある！と世界までウソ付いて招致したオリンピックに日本の隠蔽、ウソ、利権等、世界にバレてしまいました。10年経っても4階の格納機に近づけない現実,0,0
75,,0,0
76,オリンピックまでには終息するような気がしていました今はワクチンと変異株との追い掛けっこでしょうか🤔とにかく生き延びましょう😆👍🏻おお、明後日本番ですか😃頑張ってください😆💪🏻,0,0
77,政府や役所は社会を分断する施策を平気に実施する。オリンピックをやる意味あんのか。,0,0
78,オリンピックがとにかく楽しみですこんな時代だからこそアスリートの皆様を精一杯応援します,0,0
79,,0,0
80,確かに！PCR検査はしない！根拠のない一斉休校！見ようとしなければ、政府にとっては、コロナは無いのかも知れませんねオリンピック開催！,0,0
81,後、ネットで「中国は愛ちゃんが台湾より好き」の説明福原は子供の頃から中国に卓球のため中国に勉強したのに中国に何回でも負けた。そのため中国が福原が好き。もし福原は中国倒したら、中国人は絶対福原が嫌になりそうだ。これはオリンピックやどんなスポーツの世界選手権でもよく見えることです。,5,0
82,五輪中止。安倍晋三の嘘八百オリンピックインタビューが酷い。復興に役に立たないという声が7割近くあるのに、安倍晋三は胸を張って復興五輪と言う...,1,1
83,さっきの青天でも鎖国開国の流れで日本人たる矜持みたいなの今のこの状況でもわかるな。海外諸国にもう少し毅然とした日本の良さを示さなきゃね。コロナとオリンピックの双方とも。,0,0
84,,1,0
85,政府の人、原宿とかいかないから分からないと思うけど、結構マスクしてない人いっぱいいたよお🥺日本人はしてない人見なかったけど、やぱオリンピックは危ないんでね？,0,0
86,,0,0
87,,0,0
