KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000848001,T000848002,T000848003,T000848004
25201072006,3,大津市,坂本６丁目,0,,,1530,729,801,606
25201072007,3,大津市,坂本７丁目,0,,,1669,823,846,719
25201072008,3,大津市,坂本８丁目,0,,,880,427,453,365
252010800,2,大津市,木の岡町,0,,,909,443,466,382
252010810,2,大津市,下阪本,0,,,7683,3791,3892,2769
25201081001,3,大津市,下阪本１丁目,0,,,1212,612,600,466
25201081002,3,大津市,下阪本２丁目,0,,,1276,633,643,443
25201081003,3,大津市,下阪本３丁目,0,,,1374,678,696,453
25201081004,3,大津市,下阪本４丁目,0,,,751,366,385,288
25201081005,3,大津市,下阪本５丁目,0,,,1102,549,553,413
25201081006,3,大津市,下阪本６丁目,0,,,1968,953,1015,706
252010870,2,大津市,比叡辻,0,,,1954,967,987,828
25201087001,3,大津市,比叡辻１丁目,0,,,1191,623,568,485
25201087002,3,大津市,比叡辻２丁目,0,,,763,344,419,343
252010890,2,大津市,唐崎,0,,,3980,1843,2137,1698
25201089001,3,大津市,唐崎１丁目,0,,,1527,721,806,637
25201089002,3,大津市,唐崎２丁目,0,,,755,331,424,322
25201089003,3,大津市,唐崎３丁目,0,,,971,439,532,465
25201089004,3,大津市,唐崎４丁目,0,,,727,352,375,274
252010930,2,大津市,弥生町,0,,,609,278,331,236
252010940,2,大津市,穴太,0,,,1592,787,805,687
25201094001,3,大津市,穴太１丁目,0,,,510,262,248,219
25201094002,3,大津市,穴太２丁目,0,,,699,339,360,318
25201094003,3,大津市,穴太３丁目,0,,,383,186,197,150
252010970,2,大津市,滋賀里,0,,,3278,1592,1686,1203
25201097001,3,大津市,滋賀里１丁目,0,,,1063,509,554,343
25201097002,3,大津市,滋賀里２丁目,0,,,720,347,373,293
25201097003,3,大津市,滋賀里３丁目,0,,,582,286,296,235
25201097004,3,大津市,滋賀里４丁目,0,,,913,450,463,332
252011010,2,大津市,見世,0,,,1590,707,883,601
25201101001,3,大津市,見世１丁目,0,,,719,319,400,261
25201101002,3,大津市,見世２丁目,0,,,871,388,483,340
252011030,2,大津市,際川,0,,,3242,1701,1541,1116
25201103001,3,大津市,際川１丁目,0,,,372,314,58,39
25201103002,3,大津市,際川２丁目,0,,,1131,555,576,444
25201103003,3,大津市,際川３丁目,0,,,1061,499,562,400
25201103004,3,大津市,際川４丁目,0,,,678,333,345,233
252011070,2,大津市,あかね町,0,,,982,470,512,370
252011080,2,大津市,蓮池町,0,,,932,473,459,429
252011090,2,大津市,皇子が丘,0,,,4494,2127,2367,1967
25201109001,3,大津市,皇子が丘１丁目,0,,,1221,603,618,554
25201109002,3,大津市,皇子が丘２丁目,0,,,2800,1304,1496,1179
25201109003,3,大津市,皇子が丘３丁目,0,,,473,220,253,234
252011120,2,大津市,桜野町,0,,,2633,1252,1381,1150
25201112001,3,大津市,桜野町１丁目,0,,,913,420,493,451
25201112002,3,大津市,桜野町２丁目,0,,,1720,832,888,699
252011140,2,大津市,錦織,0,,,2313,1115,1198,988
25201114001,3,大津市,錦織１丁目,0,,,947,456,491,386
25201114002,3,大津市,錦織２丁目,0,,,674,331,343,298
25201114003,3,大津市,錦織３丁目,0,,,692,328,364,304
252011170,2,大津市,二本松,0,,,448,203,245,177
252011180,2,大津市,柳が崎,0,,,978,460,518,472
252011190,2,大津市,神宮町,0,,,263,109,154,123
252011200,2,大津市,南志賀,0,,,2983,1421,1562,1147
25201120001,3,大津市,南志賀１丁目,0,,,742,358,384,299
25201120002,3,大津市,南志賀２丁目,0,,,642,317,325,267
25201120003,3,大津市,南志賀３丁目,0,,,779,338,441,281
25201120004,3,大津市,南志賀４丁目,0,,,820,408,412,300
252011240,2,大津市,高砂町,0,,,561,262,299,227
252011250,2,大津市,勧学,0,,,1395,684,711,517
25201125001,3,大津市,勧学１丁目,0,,,604,307,297,198
25201125002,3,大津市,勧学２丁目,0,,,791,377,414,319
252011270,2,大津市,柳川,0,,,1737,835,902,630
25201127001,3,大津市,柳川１丁目,0,,,877,419,458,308
25201127002,3,大津市,柳川２丁目,0,,,860,416,444,322
252011290,2,大津市,鏡が浜,0,,,727,345,382,338
252011300,2,大津市,錦織町,0,,,8,3,5,2
252011310,2,大津市,南滋賀町,0,,,-,-,-,-
252011320,2,大津市,滋賀里町甲,0,,,-,-,-,-
252011330,2,大津市,滋賀里町乙,0,,,-,-,-,-
252011340,2,大津市,松山町,0,,,853,413,440,326
252011350,2,大津市,千石台,0,,,268,131,137,111
252011360,2,大津市,山中町,0,,,141,66,75,53
252011370,2,大津市,比叡平,0,,,2643,1240,1403,1083
25201137001,3,大津市,比叡平１丁目,0,,,702,314,388,289
25201137002,3,大津市,比叡平２丁目,0,,,961,456,505,386
25201137003,3,大津市,比叡平３丁目,0,,,980,470,510,408
252011400,2,大津市,大谷町,0,,,413,198,215,191
252011410,2,大津市,追分町,0,,,642,329,313,298
252011420,2,大津市,藤尾奥町,0,,,832,420,412,401
252011430,2,大津市,稲葉台,0,,,1065,510,555,430
252011440,2,大津市,茶戸町,0,,,859,413,446,336
252011450,2,大津市,横木,0,,,1443,708,735,671
25201145001,3,大津市,横木１丁目,0,,,630,309,321,313
25201145002,3,大津市,横木２丁目,0,,,813,399,414,358
252011470,2,大津市,大門通,0,,,601,281,320,296
252011480,2,大津市,園城寺町,0,,,30,14,16,15
252011490,2,大津市,山上町,0,,,900,473,427,384
252011500,2,大津市,観音寺,0,,,438,204,234,190
252011510,2,大津市,尾花川,0,,,970,477,493,396
252011520,2,大津市,茶が崎,0,,,1418,667,751,631
252011530,2,大津市,御陵町,0,,,193,142,51,125
252011540,2,大津市,浜大津,0,,,2397,1145,1252,1159
25201154001,3,大津市,浜大津１丁目,0,,,126,68,58,102
25201154002,3,大津市,浜大津２丁目,0,,,131,66,65,67
25201154003,3,大津市,浜大津３丁目,0,,,1097,516,581,486
25201154004,3,大津市,浜大津４丁目,0,,,1043,495,548,504
25201154005,3,大津市,浜大津５丁目,0,,,-,-,-,-
252011560,2,大津市,琵琶湖,0,,,-,-,-,-
252011570,2,大津市,長等,0,,,1599,735,864,869
25201157001,3,大津市,長等１丁目,0,,,214,96,118,86
25201157002,3,大津市,長等２丁目,0,,,860,380,480,488
25201157003,3,大津市,長等３丁目,0,,,525,259,266,295
252011600,2,大津市,小関町,0,,,295,136,159,121
252011610,2,大津市,三井寺町,0,,,612,287,325,256
252011620,2,大津市,神出開町,0,,,71,18,53,5
252011650,2,大津市,松本本宮町,0,,,-,-,-,-
252011660,2,大津市,梅林,0,,,460,219,241,213
25201166001,3,大津市,梅林１丁目,0,,,392,187,205,177
25201166002,3,大津市,梅林２丁目,0,,,68,32,36,36
252011680,2,大津市,末広町,0,,,177,84,93,78
252011690,2,大津市,春日町,0,,,648,300,348,283
